"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","GenericName","Package","ICtype"
"7bb571df-e0e3-44ac-994f-23a22b21b368","","","","","IC,MCP3208-CI/SI,SO16","MICROCHIP","MCP3208-CI/SI","R77","","","","","","MCP3208-CI/SI","SO16",""
"d2d79def-25c7-498a-88d3-d6cc0ca9deec","","","","","IC,MCP4902-E/SL,SO14","MICROCHIP","MCP4902-E/SL","R78","","","","","","MCP4902-E/SL","SO14",""
"ba1d0cf2-aa9b-402a-b738-70b7c1ee4549","","","","","IC,LM2594M-3.3,SO8","TI","LM2594M-3.3","R79","","","","","","LM2594M-3.3","SO8",""
"84788976-4ed4-47ef-941f-a7442e3416c9","","","","","IC,MAX1036EKA+T,SOT23-8","MAXIM","MAX1036EKA+T","R80","","","","","","MAX1036EKA+T","SOT23-8",""
"696f8404-51d6-45ba-b4e6-12d2bc889382","","","","","IC,REGULATOR,LM2674M-ADJ,SO8","TI","LM2674M-ADJ","R81","","","","","","LM2674M-ADJ","SO8","REGULATOR"
"109e15e6-6147-4671-8405-fefc3283072f","","","","","IC,LT1377,SO8","LINEAR TECHNOLOGIES","LT1377","R82","","","","","","LT1377","SO8",""
"fb3bbe9b-c8eb-4402-9f8c-35ab9ab9796d","","","","","IC,MAX5721EUA+,USOP8","MAXIM","MAX5721EUA+","R83","","","","","","MAX5721EUA+","USOP8",""
"3895ffee-7fa3-4dcc-bc85-90c90e4825cd","","","","","IC,TLC59161D,SO16","TI","TLC59161D","R84","","","","","","TLC59161D","SO16",""
"5798cb2d-2978-4a90-ab00-3f8058c24b0a","","","","","IC,TC55RP3302ECB713,SOT23","TI","TC55RP3302ECB713","R85","","","","","","TC55RP3302ECB713","SOT23",""
"7a83252b-4580-484c-8be8-c860492cc3c7","","","","","IC,REGULATOR, LM317EMP,SOT223","TI","LM317EMP","R86, R98","","","","",""," LM317EMP","SOT223","REGULATOR"
"6324c456-ca91-4561-830f-5eb2ba895ee5","","","","","IC,LMV331,SOT25","TI","LMV331","R87","","","","","","LMV331","SOT25",""
"919fafb1-36b3-4102-b40e-c0bc842e6551","","","","","IC,LT1004CDR-1-2","LINEAR TECHNOLOGIES","LT1004CDR-1-2","R88","","","","","","LT1004CDR-1-2","",""
"0f62eb78-804b-4578-b1a0-2c2aef16f83c","","","","","IC,MCP4362-103E/ST","MICROCHIP","MCP4362-103E/ST","R89","","","","","","MCP4362-103E/ST","",""
"8763a953-d115-4af8-990a-41d4f0b2a915","","","","","IC,TLC5925IDBQR","TI","TLC5925IDBQR","R90","","","","","","TLC5925IDBQR","",""
"b0431d1d-df0a-47c7-83ac-5a094cefcef9","","","","","IC,MCP4161-10","MICROCHIP","MCP4161-10","R91","","","","","","MCP4161-10","",""
"86c28f8a-6e8f-434c-9942-2ce46fb3660b","","","","","IC,MCP73832T-2ACI/DT","MICROCHIP","MCP73832T-2ACI/DT","R92","","","","","","MCP73832T-2ACI/DT","",""
"456ac6d2-1615-4d9e-a0fa-7b6273c904c4","","","","","IC,LT1490A,SO8","LINEAR TECHNOLOGIES","LT1490A","R93","","","","","","LT1490A","SO8",""
"f300adef-c04a-4b64-ab0d-0e20bfb5c005","","","","","IC,AP7331-WG-7","","AP7331-WG-7","R94","","","","","","AP7331-WG-7","",""
"bd7dfdb6-bc3c-4461-82ef-36ace9d7fe09","","","","","IC,LT1930AES5","LINEAR TECHNOLOGIES","LT1930AES5","R97","","","","","","LT1930AES5","",""
"e03fb964-d57a-4c10-80b8-b0de158ed376","","","","","IC,REGULATOR,LM4041DEM3-ADJ/NOPB,SOT23","TI","LM4041DEM3-ADJ/NOPB","R99","","","","","","LM4041DEM3-ADJ/NOPB","SOT23","REGULATOR"
"4025ed94-08fc-4554-92e9-1c9c2b7944c2","","","","","IC,LM431ACM,SO8","TI","LM431ACM","R100","","","","","","LM431ACM","SO8",""
"7ab37014-bc2b-42ae-83bc-8b22ddf0d706","","","","","IC,LT1372I,SO8","LINEAR TECHNOLOGIES","LT1372I","R101","","","","","","LT1372I","SO8",""
"5ba99f94-3bcb-406a-896c-54aa4885db30","","","","","IC,MAX1651ESA,SO8","MAXIM","MAX1651ESA","R102","","","","","","MAX1651ESA","SO8",""
"b6adcf2e-7715-4987-8e32-73e111a042a6","","","","","IC,FT245BM","FTDI","FT245BM","R103, R109","","","","","","FT245BM","",""
"0ddf8aba-927a-4897-b77b-4d08865ec323","","","","","IC,XC9536","XILINX","XC9536","R104","","","","","","XC9536","",""
"fcb468b4-f207-4f7c-86ee-6bdead0a5b46","","","","","IC,FT2232C","FTDI","FT2232C","R105","","","","","","FT2232C","",""
"2800e707-d72c-4c6f-a1d7-628f59a87bd5","","","","","IC,M5M5V416BTP-70","MITSUBISHI","M5M5V416BTP-70","R106, R230, A0783","","","","","","M5M5V416BTP-70","",""
"2d205490-8aa4-4fc7-9e19-461ee9b05172","","","","","IC,AT89C52,PLCC44","ATMEL","AT89C52","R107","","","","","","AT89C52","PLCC44","microcontroller,8-bit"
"3bed4d13-82b1-4c40-bd76-5662d017cc41","","","","","IC,93C46BI/SN0402,SO8","MICROCHIP","93C46BI/SN0402","R108","","","","","","93C46BI/SN0402","SO8",""
"33119ebc-8914-4966-bd75-6fc33bda0d45","","","","","IC,MAX213CWI","MAXIM","MAX213CWI","R110","","","","","","MAX213CWI","",""
"413a2559-b64c-4baf-9bd8-2f8af2465374","","","","","IC,MAX509BCPW","MAXIM","MAX509BCPW","R111","","","","","","MAX509BCPW","",""
"269cc947-6c3b-4432-a4d4-a17d66c4acdf","","","","","IC,MEMORY,AT27C256R-70RC","ATMEL","AT27C256R-70RC","R112","","","","","","AT27C256R-70RC","","MEMORY"
"59bd2e0d-0fb5-4d70-876c-a7fa3189dc53","","","","","IC,CPU,ATTINY45,SO8","ATMEL","ATTINY45","R132","","","","","","ATTINY45","SO8","CPU"
"14a38442-99e0-4f90-8727-ea4d471fc76e","","","","","IC,PCF8563,SO8","NXP","PCF8563","R130","","","","","","PCF8563","SO8",""
"1a08198c-cdcf-4f8b-a792-119abd4150a0","","","","","IC,LOGIC,QUAD,AND,74LCX08MTR","NXP","74LCX08MTR","R134","","","","","","74LCX08MTR","","LOGIC,QUAD,AND"
"19024eb0-afdb-4c9a-8d58-4f6489068667","","","","","IC,PCA9534DB,TSSOP16","NXP","PCA9534DB","R138, R139, R140","","","","","","PCA9534DB","TSSOP16",""
"df58c110-dca6-4144-94fe-e17f407f9b59","","","","","IC,TLC272,SO8","TI","TLC272","R133","","","","","","TLC272","SO8",""
"fdbbcf3a-9484-4021-b733-29dcf0762c0e","","","","","IC,LOGIC,74HCT573,SO20W","TI","74HCT573","R142","","","","","","74HCT573","SO20W","LOGIC"
"c401b108-78a5-43af-9af3-635ae8d0a731","","","","","IC,LOGIC,74HCT244,SO20W","ST","74HCT244","R143","","","","","","74HCT244","SO20W","LOGIC"
"c0d3ae96-e603-4db6-9a77-00113bce23c5","","","","","IC,LOGIC,74LCX86,TSSOP14","FAIRCHILD","74LCX86","R153","","","","","","74LCX86","TSSOP14","LOGIC"
"4bfde1e4-4456-4648-a331-adb124ffb35a","","","","","IC,LOGIC,74LCX573 74HC573,TSSOP20","FAIRCHILD","74LCX573 74HC573","R149","","","","","","74LCX573 74HC573","TSSOP20","LOGIC"
"4f4ba3ac-3198-48d3-a1e8-d13842840d87","","","","","IC,LOGIC,QUAD,NAND,74VHC00,SO14","FAIRCHILd","74VHC00","R146","","","","","","74VHC00","SO14","LOGIC,QUAD,NAND"
"bae61dad-2362-4aad-8999-849dde53ee76","","","","","IC,LOGIC,QUAD,NAND,74HCT00,SO14","NXP","74HCT00","R146","","","","","","74HCT00","SO14","LOGIC,QUAD,NAND"
"024c715d-2fe7-4a83-b7da-429be78d9e84","","","","","IC,LOGIC,74HC573,TSSOP20","ST","74HC573","R149","","","","","","74HC573","TSSOP20","LOGIC"
"bee92537-e337-4066-b78f-7681b40cf6df","","","","","IC,LOGIC,74V1G125,SOT25","TI","74V1G125","R144","","","","","","74V1G125","SOT25","LOGIC"
"37b36da0-4060-4868-836f-3cfeb74113bd","","","","","IC,LOGIC,SINGLEGATE,OR,74V1G32,SOT25","TI","74V1G32","R147","","","","","","74V1G32","SOT25","LOGIC,SINGLEGATE,OR"
"28d21b85-f35b-41c6-9858-b2ca34c79022","","","","","IC,LOGIC,SINGLEGATE,NOT,SCHMITTTRIGGER,74V1G14,SOT25","TI","74V1G14","R145","","","","","","74V1G14","SOT25","LOGIC,SINGLEGATE,NOT,SCHMITTTRIGGER"
"8bb14647-a123-4de1-a810-45e630965ec7","","","","","IC,LOGIC,HEX,NOT,SCHMITTTRIGGER,74LCX14,TSSOP14","TI","74LCX14","R155","","","","","","74LCX14","TSSOP14","LOGIC,HEX,NOT,SCHMITTTRIGGER"
"7b7e4fea-2ea1-47b3-a696-d4c68fbb6fb1","","","","","IC,LOGIC,HEX,NOT,74LCX04,TSSOP14","TI","74LCX04","R150","","","","","","74LCX04","TSSOP14","LOGIC,HEX,NOT"
"0e3d821b-c133-46ed-9d2b-c580c0e27849","","","","","IC,LOGIC,74LCX244,TSSOP20","TI","74LCX244","R151","","","","","","74LCX244","TSSOP20","LOGIC"
