"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","GenericName","Package","ICtype","Mounting"
"88a66b9b-69cb-45c7-95ff-f24cf8299128","","","","","IC,29LE010,PLCC32,SMD","SST","29LE010","A0373","","","","","","29LE010","PLCC32","","SMD"
"260d4e72-a828-45d3-911f-af58681c780d","","","","","IC,EPC2C35F484,BGA484","ALTERA","EPC2C35F484","A0370","","","","","","EPC2C35F484","BGA484","",""
"1afeaf23-d23c-4293-bb25-5da190ae6482","","","","","IC,OPAMP,DUAL,NE5532,SO8W","TI","NE5532","A0367","","","","","","NE5532","SO8W","OPAMP,DUAL",""
"2c20d264-b3de-454d-9756-e46e744d7c41","","","","","IC,LTC1150CN8,DIP8","LINEAR","LTC1150CN8","A0137","","","","","","LTC1150CN8","DIP8","",""
"7276e57a-ed25-48b9-afaa-2a37084726ad","","","","","IC,TC7650CPD,DIP14","MICROCHIP","TC7650CPD","A0133","","","","","","TC7650CPD","DIP14","",""
"4f3756b6-7b10-4cfe-bab6-65c784a1f20a","","","","","IC,LM4562,SO8","NATIONAL","LM4562","A0279","","","","","","LM4562","SO8","",""
"202632c5-2ec2-403d-9997-a48b8e024957","","","","","IC,CD74HC74,DIP14","TI","CD74HC74","A0302","","","","","","CD74HC74","DIP14","",""
"d05fd7c8-7d8e-46eb-9a8a-d65a41a5cec8","","","","","IC,LOGIC,QUAD AND2,SN74HC08,DIP14","TI","SN74HC08","A0303","","","","","","SN74HC08","DIP14","LOGIC,QUAD AND2",""
"d6ef5a25-275e-44b1-8317-1765d1ede54e","","","","","IC,PCA9555,TSSOP","NXP","PCA9555","A0273","","","","","","PCA9555","TSSOP","",""
"9fb0c72e-7bdf-43c1-8681-5c4bf3eb3ed9","","","","","IC,LM73,SOT23-6","TI","LM73","A0267","","","","","","LM73","SOT23-6","",""
"577117e6-fcc4-4525-8c4b-893a30591c86","","","","","IC,HM62256,SO28W","HITACHO","HM62256","A0261","","","","","","HM62256","SO28W","",""
"2e625e3c-8faa-4277-b907-ac05fdb7658e","","","","","IC,LM1496,DIP14","NATIONAL","LM1496","A0269","","","","","","LM1496","DIP14","",""
"badd4b2c-89f0-4420-8244-21e372f0b430","","","","","IC,SN74HC574,DIP20","TI","SN74HC574","A0301","","","","","","SN74HC574","DIP20","",""
"3a5e05fb-0aa3-4d13-a56f-399aecdd57ac","","","","","IC,LOGIC,COUNTER 4BIT UP-DOWN,SN74HC193,DIP16","TI","SN74HC193","A0304","","","","","","SN74HC193","DIP16","LOGIC,COUNTER 4BIT UP-DOWN",""
"608b5e8d-9529-4956-be93-5c104f1959ca","","","","","IC,LOGIC,QUAD NOR2,CD4001,DIP14","TI","CD4001","A0313","","","","","","CD4001","DIP14","LOGIC,QUAD NOR2",""
"b8987de8-f6b4-4513-abd0-204799ea66aa","","","","","IC,LTC1050CN,DIP14","LINEAR","LTC1050CN","A0295","","","","","","LTC1050CN","DIP14","",""
"023659c7-b20a-4125-a3a4-be96551abe81","","","","","IC,LOGIC,TRIPLE AND3,SN74HC11,DIP14","TI","SN74HC11","A0314","","","","","","SN74HC11","DIP14","LOGIC,TRIPLE AND3",""
"34a2ecb6-565b-4157-af0c-d36a7b523d84","","","","","IC,LOGIC,DUAL NAND2,CD4012,DIP14","HARRIS","CD4012","A0306","","","","","","CD4012","DIP14","LOGIC,DUAL NAND2",""
"b3bb71d7-9701-4e88-b76c-f4ce5414118b","","","","","IC,LT1366,SO8","LINEAR","LT1366","A0265","","","","","","LT1366","SO8","",""
