"Index","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Supplier","Supplier PartNo","Vceo","Ic","GenericName","BJTtype","Location"
"ba83b40f-d41d-45de-b212-88b12c4d9149","BJT, NPN, 60V, 0.6A, NXP, PN2222, TO92","","","","","NXP","PN2222","TO92","","","","60V","0.6A","","NPN","A0677"
"b3cc00ae-fc36-451f-add7-49e0c035808e","BJT, PNP, 250V, 16A, ONSEMI, MJL21193, TO264","","","","","ONSEMI","MJL21193","TO264","","","","250V","16A","","PNP","A0664"
"5d6b9b2a-388b-46d5-92d0-4e0da7d4c53c","BJT, NPN, 60V, 0.6A, ONSEMI, MMBT2222A, SOT23","","","","","ONSEMI","MMBT2222A","SOT23","","","","60V","0.6A","","NPN","R616"
"94ea77d3-4524-4f4f-aa37-dcf2484982b8","BJT, PNP, 40V, 0.6A, ONSEMI, MMBT2907A, SOT23","","","","","ONSEMI","MMBT2907A","SOT23","","","","40V","0.6A","","PNP","R623"
"1da655ef-2f70-45ea-ac82-71efb004a498","BJT, ZENER, 1V8, 0.25W, CENTRAL, CMSZ1L8, SOD323","","","","","CENTRAL","CMSZ1L8","SOD323","","","","1V8","0.25W","","ZENER","R625"
"87388b11-6162-4899-8b72-e3545cc88826","BJT, NPN, 40V, 0.2A, ONSEMI, MMBT3904, SOT23","","","","","ONSEMI","MMBT3904","SOT23","","","","40V","0.2A","","NPN","R713"
"414a78c2-822b-4fdf-9020-e8dd9c742b52","BJT, DUAL PNP, 40V, 0.1A, NXP, PUMT1, SOT363","","","","","NXP","PUMT1","SOT363","","","","40V","0.1A","","DUAL PNP","R716"
"64f0dd8f-6b96-4044-b43e-27154e60db9d","","","","","","NXP","BC337","TO92","","","","","","","","A0436"
"60e455de-328c-47ad-8f7e-6bc900e02443","","","","","","DIOTEC","2N3904","TO92","","","","","","","","A0444,  A0510"
"43b53a8d-3775-4b2c-bbb7-5132db146966","","","","","","DIOTEC","2N3906","TO92","","","","","","","","A0480"
"3658dcbf-1c60-4736-9f55-23c371690504","","","","","","FAIRCHILD","BC327","TO92","","","","","","","","A0453"
"81a9fd63-98a2-426f-9ea9-eb33cdf52be1","","","","","","JIANGSU CHANGJIANG","MMBT2222ALT1","SOT23","","","","","","","","R737, R738, R739, R740"
"0198a810-8123-4af5-a115-3071e29e1eb1","","","","","","MULLARD","OCP 70","GLASS","","","","","","","","A0513"
"4b9a176a-8772-4727-9930-c1e15fbbdcab","","","","","","TI","TIP125","","","","","","","","","A0447"
"705346f2-a4b9-4eed-87be-0204edcc1ec4","","","","","","SEC","TIP120","","","","","","","","","A0428"
"b749f6c1-05f7-4ae1-b7bf-7f7c7c8f6462","","","","","","TEXET","TIP50","","","","","","","","","A0511"
"b0fb3747-913b-4e14-afe6-19cb43a1b9c6","","","","","","MOTOROLA","TIP105","","","","","","","","","A0466"
"1dd8c7d1-08dc-4f2a-8c87-bd74004d4342","","","","","","","","","","","","","","","","-"
"cc417bc7-47a1-4fce-84eb-837b60db8783","","","","","","ST","TIP142","","","","","","","","","A0432"
"f3089d1e-88fb-4f29-b0f1-37090e3940f2","","","","","","MOTOROLA","2N2219","","","","","","","","","A0475"
"4a830402-f1a7-415a-a99f-0ba8c82251c3","","","","","","BORN","MMBT3904","","","","","","","","","A0413"
"fc6c8afc-242c-42c9-bb24-f440028f2b83","","","","","","FAIRCHILD","MPSA05","TO92","","","","","","","","A0416"
"0dd40602-3714-4544-a33c-41be4595e8c6","","","","","","TOSHIBA","2SK170","TO92","","","","","","","","A0570"
"90725ca0-774f-4bc9-93d8-d15d41738b79","","","","","","NATIONAL","2N2907","TO92","","","","","","","","A0565"
"b0f4bc5e-c2b5-4c2c-91e7-8fab12293dc8","","","","","","","2N4028","TO92","","","","","","","","A0561"
"ed101213-e262-446b-a4ff-f6f03749d7a1","","","","","","","2N3711","TO92","","","","","","","","A0553"
"8ed70dba-9fe2-4e6d-8b0c-57722cc543cc","","","","","","","J110","TO92","","","","","","","","A0558"
"4f9669f3-7c70-4535-858d-47982d89a481","","","","","","","J112","TO92","","","","","","","","A0559"
"7c4a666c-8902-43cb-aaf5-0ad08977e77b","","","","","","","PN4117","TO92","","","","","","","","A0562"
"aa5eec7e-acf5-4d76-ad3c-252b5c31fb27","","","","","","MOTOROLA","2N3906","TO92","","","","","","","","A0566"
"59c2dd8d-2ebb-482e-b834-335493614359","","","","","","SILICONIX","DN2540","TO92","","","","","","","","A0560"
"01deef63-d298-4ca6-ae5b-dd992ba9358e","","","","","","SUPERTEX","DN2535","TO92","","","","","","","","A0564"
"2f8b7574-045d-495f-bbc5-ead851e67d33","","","","","","TI","2N4058","TO92","","","","","","","","A0563"
"0f9db9d1-e935-4aae-b38b-66ea22b09b7b","","","","","","SUPERTEX","LND150","TO92","","","","","","","","A0556"
"5c778fe1-ead6-468e-8183-e9d39930bf8f","","","","","","ECS","2N6059","TO3","","","","","","","","A0753"
"e28ea524-89dd-4313-9887-5cc441fc907c","","","","","","BSC","MJ1000","TO3","","BOCA SEMICONDUCTOR","","","","","","A0784"
"e6642dc0-8501-489d-803d-930fdffcbfbd","","","","","","BSC","IR1000","TO3","","","","","","","","A0784"
"d37a2723-9796-4e52-bb71-0d0f995145dd","","","","","","MOTOROLA","MJ15004","TO3","","","","","","","","A0785"
"8b2de1eb-ba13-4926-9e8e-1948a64cfbfd","","","","","","HP","1854-0989","TO3","","","","","","","","A0785"
"094fc435-404c-4baf-985a-839a86feda1d","","","","","","ST","STN826","SOT223","","","","","","","","A0791"
"1fe873c6-797e-4859-a073-1b33951f57ed","","","","","","ST","MJ1001","TO3","","","","","","","","A0801"
