"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Mounting","Switchtype","Voltage","Supplier","Supplier PartNo"
"6f3b6949-5dad-48dd-8669-d58a3098fb35","","","","","","","","A0517","","","","","","","SW12X12-LED-WHITE","","","","","",""
"a2a03a61-154d-4138-bf91-fe2a331b5b0b","","","","","ENCODER, MAGNETIC","","","A0516","","","","","POLOLU","3499","","","","","","",""
"911a9f0c-5d18-4a64-bee2-6fda23af83c8","","","","","ENCODER, MAGNETIC","","","A0516","","","","","OSEPP","ENC-01","","","","","","",""
"eeae66e4-6553-4dbe-816f-6960a716d63a","","","","","SWITCH,CSPDT, MICRO WITH LEVER, RIGHT ANGLE","","","A0415","","","","","KOREAN HROPARTS","K9-1267B-L","","","","","","LCSC","C136688"
"93c47e28-4307-430a-9e52-ee0e09561d8e","","","","","","","","A0701, A0700","","","","","E-SWITCH","WITH LED","","","","","","",""
"78a9256f-3453-47bb-be44-aa703494f922","","","","","","","","A0723","","","","","PREH","WELLER BUTTON","","","","","","",""
"67654d4e-cc55-4ed8-a523-39b9d2f576e7","","","","","","","","A0812","","","","","CK","F2UEE","","","","","","",""
"6ce04a37-d028-4326-85f7-bf586e51aa4e","","","","","","","","A0813","","","","","CK","F2UEE TB","","","","","","",""
"9f6f2532-2af8-4ec2-91ba-b8c6d9cd2678","","","","","","","","A0814","","","","","TONELUCK","PBN-S2C35-AAG","","","","","","",""
"b878dc6d-1b9d-41ae-bea6-19c0e162f830","","","","","","","","A0858","","","","","CK","TSWB3NCB222LFS","","","","","","DIGIKEY","CKN10345-ND"
