"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Value","Tempco","Voltage","CapType","Supplier","Supplier PartNo","Dielectric"
"e46cad05-8f9c-45f9-98ee-63c186b52b84","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,220nF,63V,BOX508","BC COMPONENTS BELGIUM","","A0472, A0490","","","","","","BC COMPONENTS BELGIUM","MKT370 2222-370-76224","BOX508","","220nF","","63V","FILM","","",""
"47832b3b-ca4b-4a55-bd6c-26857278ef2f","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,470nF,63V,BOX508","S+M BELGIUM","","A0438, A0462","","","","","","S+M BELGIUM","B32529C0474K289","BOX508","","470nF","","63V","FILM","","",""
"c17dab45-d87e-4209-abf9-d7eef5c19a5c","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,470nF,63V,BOX508","PHILIPS BELGIUM","","A0414, A0469","","","","","","PHILIPS BELGIUM","MKT470 2222-470-78474","BOX508","","470nF","","63V","FILM","","",""
"cbb753f8-745f-47f2-b0cb-03ecd55396cd","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,220nF,63V,BOX508","THOMSON","","A0481, A0479, A0443","","","","","","THOMSON","BF024D0224KKR","BOX508","","220nF","","63V","FILM","","",""
"1331b044-6df1-4a94-ba4c-8f39837f9efd","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,470nF,100V,BOX508","THOMSON","","A0430, A0440, A0442","","","","","","THOMSON","BF054E0474K","BOX508","","470nF","","100V","FILM","","",""
"5a613889-f4b6-4294-b209-318d78cf1194","CAPF",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,FILM,1uF,630VDC,BOX L180 H185 P150","TDK","","A0484","","","","","","TDK","B32672P6105K000","BOX L180 H185 P150","","1uF","","630VDC","FILM","","",""
"edb973cd-48c9-4372-b1f4-0ff2a437674c","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,470nF,63V,BOX508","TDK","","A0500","","","","","","TDK","B32529C0474J289","BOX508","","470nF","","63V","FILM","","",""
"628224bb-4fad-4bce-8ce6-409fa7602ee5","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,1uF,63V,BOX508","EPCOS","","A0499","","","","","","EPCOS","","BOX508","","1uF","","63V","FILM","","",""
"f62cf1b5-4f32-4038-8d32-1994a445548b","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,470NF,63V,BOX508","EPCOS","","A0463","","","","","","EPCOS","B32529C0474J000","BOX508","","470NF","","63V","FILM","","",""
"785281a7-cd0a-494b-8519-1e68a8f61e09","CAPAE",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,AE,1000uF,35V,D125 H250 P50","NIC","","A0509, A0476","","","","","","NIC","NRSA","D125 H250 P50","2","1000uF","","35V","AE","","",""
"bcc901a8-bff5-45ae-bdd1-29a9a308660c","","","","","CAP,AE,0F22,3V3","ELNA","","R756","","","","","","ELNA","DSK-3R3H224U-HL","","","0F22","","3V3","AE","","",""
"479c8195-e986-484c-898d-15154e58fd0f","","","","","CAP,AE,47UF,16V","PANASONIC","","R758","","","","","","PANASONIC","EEE-1CA470SP","","","47UF","","16V","AE","","",""
"11cc13a4-2244-40ff-9af1-f45692d6eaa0","","","","","CAP,CER,22uF,10V","WALSIN","","R752","","","","","","WALSIN","0805X226M100CT","","","22uF","X5R","10V","CER","","",""
"9d326f61-46fd-4e8c-ace9-a166bfe72604","","","","","CAP,CER,10uF,10V","","","R761","","","","","","","GRM188R61A106KE69D","","","10uF","X5R","10V","CER","","",""
"19234026-f28a-418d-a56c-c8663042892a","","","","","CAP","","","R777","","","","","","","GCM188R71H104KA57J","","","","","","","","",""
"43e3875b-056d-450b-9b5d-472135dfb9ec","","","","","CAP","","","R791","","","","","","","CL10A475KO8NNNC","","","","","","","","",""
"28764af7-f700-4fbf-be79-5fb2258fd565","","","","","CAP,CER,10UF,6V3","","","R787","","","","","","","GRM188R60J106ME84D","","","10UF","X5R","6V3","CER","","",""
