"ID","Description","Library Ref","Library Path","Footprint Ref","Footprint Path","Manufacturer","Manufacturer PartNo","Package","AEC-Q","Supplier","Supplier PartNo","Vceo","Ic","GenericName","BJTtype","Location"
45,"BJT, NPN, 15V, 0.2A, ITT, 2N2369A, TO18",,,,,"ITT","2N2369A","TO18",,,,"15V","0.2A",,"NPN","A0600"
46,"BJT, NPN 2.5GHZ, 10V, 0.015A, ONSEMI, 2N5835, TO72",,,,,"ONSEMI","2N5835","TO72",,,,"10V","0.015A",,"NPN 2.5GHZ","A0592"
47,"BJT, NPN, 40V, 1A, NATIONAL, MPS6531, TO92",,,,,"NATIONAL","MPS6531","TO92",,,,"40V","1A",,"NPN","A0596"
48,"BJT, NPN, 60V, 25A, CENTRAL, TIP35, TO247",,,,,"CENTRAL","TIP35","TO247",,,,"60V","25A",,"NPN","A0597"
49,"BJT, PNP, 100V, 25A, TI, TIP36C, TO218",,,,,"TI","TIP36C","TO218",,,,"100V","25A",,"PNP","A0574"
50,"BJT, NPN, 15V, 0.2A, SYNERTEC, 2N2369A, TO18",,,,,"SYNERTEC","2N2369A","TO18",,,,"15V","0.2A",,"NPN","A0571, A0676"
51,"BJT, PNP, 230V, 15A, ST, 2STA1943, TO264",,,,,"ST","2STA1943","TO264",,,,"230V","15A",,"PNP","A0593"
52,"BJT, THYRISTOR, 200V, 20A, TECCOR (LITTELFUSE), S2020, TO220",,,,,"TECCOR (LITTELFUSE)","S2020","TO220",,,,"200V","20A",,"THYRISTOR","A0606"
53,"BJT, THYRISTOR, 400V, 35A, ONSEMI, MCR265, TO220",,,,,"ONSEMI","MCR265","TO220",,,,"400V","35A",,"THYRISTOR","A0334"
54,"BJT, JFET P-CH, 30V, 0.015A, INTERFET, J270, TO92",,,,,"INTERFET","J270","TO92",,,,"30V","0.015A",,"JFET P-CH","A0318"
55,"BJT, JFET N-CH, 25V, 0.005A, FAIRCHILD, J109, TO92",,,,,"FAIRCHILD","J109","TO92",,"MOUSER","512-J109","25V","0.005A",,"JFET N-CH","A0317"
56,"BJT, P-CH, 20V, 2.5A,  ST, STS2DPFS20V, SO8",,,,," ST","STS2DPFS20V","SO8",,,,"20V","2.5A",,"P-CH","A0270, A0281"
57,"BJT, N-CH, 30V, 50A, KIA, KIA50N03AD, DPAK",,,,,"KIA","KIA50N03AD","DPAK",,,,"30V","50A",,"N-CH","A0263"
58,"BJT, N-CH, 600V, 6A, INFINEON, IPA60R280P7SXXKSA1, ISO220",,,,,"INFINEON","IPA60R280P7SXXKSA1","ISO220",,,,"600V","6A",,"N-CH","A0292"
59,"BJT, PNP, 65V, 0.1A, NXP, BC856B, SOT23",,,,,"NXP","BC856B","SOT23",,,,"65V","0.1A",,"PNP","A0266"
60,"BJT, PNP, 40V, 0.6A, ONSEMI, 2N2907, TO18",,,,,"ONSEMI","2N2907","TO18",,,,"40V","0.6A",,"PNP","A0272"
61,"BJT, JFET N-CH, 35V, 0.02A, INTERFET, J111, TO92",,,,,"INTERFET","J111","TO92",,,,"35V","0.02A",,"JFET N-CH","A0285"
62,"BJT, N-CH, 600V, 18A, INFINEON, IPA60R180P7SXKSA1, ISO220",,,,,"INFINEON","IPA60R180P7SXKSA1","ISO220",,,,"600V","18A",,"N-CH","A0293"
63,"BJT, PNP, 250V, 16A, ONSEMI, MJL21193, TO264",,,,,"ONSEMI","MJL21193","TO264",,,,"250V","16A",,"PNP","A0688"
64,"BJT, NPN, 60V, 0.6A, NXP, PN2222, TO92",,,,,"NXP","PN2222","TO92",,,,"60V","0.6A",,"NPN","A0677"
65,"BJT, PNP, 250V, 16A, ONSEMI, MJL21193, TO264",,,,,"ONSEMI","MJL21193","TO264",,,,"250V","16A",,"PNP","A0664"
66,"BJT, NPN, 60V, 0.6A, ONSEMI, MMBT2222A, SOT23",,,,,"ONSEMI","MMBT2222A","SOT23",,,,"60V","0.6A",,"NPN","R616"
67,"BJT, PNP, 40V, 0.6A, ONSEMI, MMBT2907A, SOT23",,,,,"ONSEMI","MMBT2907A","SOT23",,,,"40V","0.6A",,"PNP","R623"
68,"BJT, ZENER, 1V8, 0.25W, CENTRAL, CMSZ1L8, SOD323",,,,,"CENTRAL","CMSZ1L8","SOD323",,,,"1V8","0.25W",,"ZENER","R625"
69,"BJT, NPN, 40V, 0.2A, ONSEMI, MMBT3904, SOT23",,,,,"ONSEMI","MMBT3904","SOT23",,,,"40V","0.2A",,"NPN","R713"
70,"BJT, DUAL PNP, 40V, 0.1A, NXP, PUMT1, SOT363",,,,,"NXP","PUMT1","SOT363",,,,"40V","0.1A",,"DUAL PNP","R716"
72,,,,,,"NXP","BC337","TO92",,,,,,,,"A0436"
73,,,,,,"DIOTEC","2N3904","TO92",,,,,,,,"A0444,  A0510"
74,,,,,,"DIOTEC","2N3906","TO92",,,,,,,,"A0480"
75,,,,,,"FAIRCHILD","BC327","TO92",,,,,,,,"A0453"
76,,,,,,"JIANGSU CHANGJIANG","MMBT2222ALT1","SOT23",,,,,,,,"R737, R738, R739, R740"
77,,,,,,"MULLARD","OCP 70","GLASS",,,,,,,,"A0513"
78,,,,,,"TI","TIP125",,,,,,,,,"A0447"
79,,,,,,"SEC","TIP120",,,,,,,,,"A0428"
80,,,,,,"TEXET","TIP50",,,,,,,,,"A0511"
81,,,,,,"MOTOROLA","TIP105",,,,,,,,,"A0466"
82,,,,,,,,,,,,,,,,"-"
83,,,,,,"ST","TIP142",,,,,,,,,"A0432"
84,,,,,,"MOTOROLA","2N2219",,,,,,,,,"A0475"
85,,,,,,"BORN","MMBT3904",,,,,,,,,"A0413"
86,,,,,,"FAIRCHILD","MPSA05","TO92",,,,,,,,"A0416"
87,,,,,,"TOSHIBA","2SK170","TO92",,,,,,,,"A0570"
88,,,,,,"NATIONAL","2N2907","TO92",,,,,,,,"A0565"
89,,,,,,,"2N4028","TO92",,,,,,,,"A0561"
90,,,,,,,"2N3711","TO92",,,,,,,,"A0553"
91,,,,,,,"J110","TO92",,,,,,,,"A0558"
92,,,,,,,"J112","TO92",,,,,,,,"A0559"
93,,,,,,,"PN4117","TO92",,,,,,,,"A0562"
94,,,,,,"MOTOROLA","2N3906","TO92",,,,,,,,"A0566"
95,,,,,,"SILICONIX","DN2540","TO92",,,,,,,,"A0560"
96,,,,,,"SUPERTEX","DN2535","TO92",,,,,,,,"A0564"
97,,,,,,"TI","2N4058","TO92",,,,,,,,"A0563"
98,,,,,,"SUPERTEX","LND150","TO92",,,,,,,,"A0556"
99,,,,,,"ECS","2N6059","TO3",,,,,,,,"A0753"
100,,,,,,"BSC","MJ1000","TO3",,"BOCA SEMICONDUCTOR",,,,,,"A0784"
101,,,,,,"BSC","IR1000","TO3",,,,,,,,"A0784"
102,,,,,,"MOTOROLA","MJ15004","TO3",,,,,,,,"A0785"
103,,,,,,"HP","1854-0989","TO3",,,,,,,,"A0785"
104,,,,,,"ST","STN826","SOT223",,,,,,,,"A0791"
105,,,,,,"ST","MJ1001","TO3",,,,,,,,"A0801"
