"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","Manufacturer","Manufacturer PartNo","Package","AEC-Q","If","Color","LEDtype","Supplier","Supplier PartNo","GenericName"
"78e81ddb-7b3f-42ec-8013-3301f64ffc67","","","","","","","ORH-B36G","A0170","","","","","","ORH-B36G","","","","","","LCSC","",""
"8e34492c-cb54-457e-8b03-cbf5efcf92c5","","","","","","","NHD-C0216CIZ-FSW-FBW-3V3","A0577","","","","","","NHD-C0216CIZ-FSW-FBW-3V3","","","","","","","",""
"fff30801-07b8-4fa4-b3d9-29a02fe94717","","","","","","","LS","A0374","","","","","","LS","Q976-NR-1","","","","","","",""
"80f7852b-029b-4536-bf74-cd340bfed512","","","","","","","","A0363","","","","","","","LTL911TGKS","","","","","","",""
"f90af700-857e-4e37-b29c-486fe63456f4","","","","","","","","A0283,  A0284","","","","","","","LTD-6930HR","","","+1.8","","","",""
"3ae541ef-f06d-48a3-ab18-b95f804ae72f","","","","","","","","A0647","","","","","","","NOKIA5110","","","","","","",""
"fb5d9c24-1450-448d-8728-edde6c96f8c0","","","","","","","CREE","R613","","","","","","CREE","CLA1B-WKW-XD0F0E13","","","","","","",""
"1a8f11f7-3bcc-430e-8256-eacced6c666d","","","","","","","LRTBG6TG","R687","","","","","","LRTBG6TG","","","","","","","",""
"36703030-46d7-4613-bff2-6d99614a004a","","","","","LED, BARGRAPH, 10 X SUPERRED","","2510SR1","A0672, A0673","","","","","","2510SR1","","","","","","","",""
"70d92677-37d2-48a8-8d1f-022564b2f8f4","","","","","","SUNLED","XZMDKCBDDG45S-9","R704","","","","","SUNLED","XZMDKCBDDG45S-9","","","","","","","",""
"1f6c4c6c-c59a-43a8-a21c-2a12e7bc470f","","","","","","LCSC","LED YELLOW 0603","R700","","","","","LCSC","LED YELLOW 0603","","","","","","","",""
"a778c922-4d4a-474e-8bf2-b6f01c80542f","","","","","LED, HOLDER, CHROME, PANEL, 5MM","","","A0465","","","","","","","","","","","","","",""
"bbb54e45-11d5-4835-ad9d-52c80528d194","","","","","","","150141RB73100","R754","","","","","","150141RB73100","PLCC4","","","RED/BLUE","","","",""
"11b49f7d-ffa0-4604-bade-a6035b4583b8","","","","","","ORIENT","ORH-R36A","R766","","","","","ORIENT","ORH-R36A","0603","","","ORANGE RED","","LCSC","",""
"cf27a86b-034c-424e-863f-90c058a19132","","","","","","","NCD0603Y1","R782","","","","","","NCD0603Y1","0603","","","","","","",""
"623c536b-3bd0-479e-b76d-b80cd048f9cd","","","","","","","ORH-W46G","R773","","","","","","ORH-W46G","0603","","","","","","",""
"3fdf5b02-e1a6-4120-89f7-31ff74881c72","","","","","","","NCD0603O1","R786","","","","","","NCD0603O1","0603","","","ORANGE","","","",""
"b72f26c3-5f05-465e-9e68-42d75770df71","","","","","","","","R792","","","","","","","0603","","","BLUE","","","",""
"6d1b38cc-c1cb-4923-b96f-f0bed203bb1c","","","","","","","ORH-YG36A","A0418","","","","","ORIENT TECHNOLOGY","ORH-YG36A","0603","","","YELLOW-GREEN","","LCSC","",""
"2a6acddc-e5a7-4d7f-a39a-10d654bf848c","","","","","","","ORH-W46G","A0412","","","","","","ORH-W46G","","","","WHITE","","LCSC","",""
"efe0420c-dcba-423f-8593-83a519d82ca5","","","","","","","OLED128X32","A0398, A0399","","","","","","OLED128X32","MODULE I2C","","","","","","",""
"d6e3bee3-2c84-47ac-8b26-021cf43424a3","","","","","","BROADCOM","HCNR200","A0422","","","","","BROADCOM","HCNR200","","","","","","","",""
"2ba73f51-4da9-4301-a320-03fbff62e85b","","","","","","PANASONIC","LN363GCP","A0794","","","","","PANASONIC","LN363GCP","","","","","","","",""
"090b1543-206c-402f-a495-49cf811e3ae5","","","","","","","LTL4233","A0845","","","","","","LTL4233","","","","","","","",""
"0c75385f-7dc3-44a8-9001-d074148d8dc8","","","","","","","HLMP-1719","A0846, A0847","","","","","","HLMP-1719","","","","","","","",""
"c00373e7-545f-4d35-a2d6-c156963bb532","","","","","","KINGBRIGHT","","A927, A928","","","","","KINGBRIGHT","","TH","","","","4X TH5MM","","",""
