"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","Switchtype","Package","Features","Mounting","Voltage"
"93c47e28-4307-430a-9e52-ee0e09561d8e","","","","","SWITCH","E-SWITCH","WITH LED","A0701, A0700","","","","","","","","",""
"78a9256f-3453-47bb-be44-aa703494f922","","","","","SWITCH","PREH","WELLER BUTTON","A0723","","","","","","","","",""
"67654d4e-cc55-4ed8-a523-39b9d2f576e7","","","","","SWITCH","CK","F2UEE","A0812","","","","","","","","",""
"6ce04a37-d028-4326-85f7-bf586e51aa4e","","","","","SWITCH","CK","F2UEE TB","A0813","","","","","","","","",""
"9f6f2532-2af8-4ec2-91ba-b8c6d9cd2678","","","","","SWITCH","TONELUCK","PBN-S2C35-AAG","A0814","","","","","","","","",""
"b878dc6d-1b9d-41ae-bea6-19c0e162f830","","","","","SWITCH","CK","TSWB3NCB222LFS","A0858","","","","","","","","",""
"b70b8ab6-b25b-41cd-b456-9779adab45d3","","","","","SWITCH","BOURNS","PECR12R-4225F-S0024","A1030","","","","","","","","",""
"b3f27232-e8c8-4479-8e59-e86ca08e0c8f","","","","","SWITCH","","DOME GREEN","A1109","","","","","","","","",""
"2160b040-ceaa-494c-885f-30832fd27438","","","","","SWITCH","","DOME YELLOW","A1121","","","","","","","","",""
"018b9a5b-03ed-4a8b-b440-1cf144b9cf41","","","","","SWITCH","","PEC12R-4125F-S0012","A1124","","","","","","","","",""
"26695acb-0425-473b-ac87-ad0f56bf4795","","","","","SWITCH","","DOME BLACK","A1129","","","","","","","","",""
"3b83efd5-fa94-487f-a248-c8b9aea608dc","","","","","SWITCH","","DOME RED","A1132","","","","","","","","",""
"86645c44-0d15-461a-9c71-49c41600c293","","","","","SWITCH","","TILT SENSOR STEEL BALL","A1138","","","","","","","","",""
"fe451078-5c11-4676-bf64-50d61f801f84","","","","","SWITCH","PANASONIC","EVQ-QFV02K","A1160","","P8000SCT-ND","","","","","","",""
"1091a44d-b2a9-477c-a873-922ac16cf926","","","","","SWITCH","","","A1212","","P8090SCT-ND","","","","","","",""
"074dbb74-10c2-4c3d-bd8c-5908c9f25c8a","","","","","SWITCH","","MEC SWITCH","A1230","","","","","","","","",""
"4442fe5c-e4f2-4404-9353-044be5dd2941","","","","","SWITCH","","PUSHBUTTON 10X10","A1290","","","","","","","","",""
"20ee53e6-cf6b-475e-8581-0566136e4486","","","","","SWITCH","","MINI SPST2.54MM","A1296","","","","","","","","",""
"229f4ed5-ddd7-4230-a83e-92fd25f4a848","","","","","SWITCH","HP","HP POWER SUPPLY BUTTON + CAP","A1322","","","","","","","","",""
"9c608c1c-2460-452f-a1af-198f99625acb","","","","","SWITCH","E-SWITCH","ROUND","MARS194","","","","","","","","",""
