"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Package","Supplier","Supplier PartNo","Vceo","Ic","GenericName","BJTtype","Mounting"
"da47cb62-3164-4c7f-9cfd-ead7175c178f","","","","","TRANSISTOR,NPN,300V,0.5A,MPSA42,TO92,TH","ONSEMI","MPSA42","A0199","","","","","","TO92","JAMECO","","300V","0.5A","MPSA42","NPN","TH"
"44a3821e-476f-459d-81cb-483bc3b8d0cf","","","","","TRANSISTOR,DARLINGTON,NPN,30V,0.5A,MPSA14-CDI,TO92,TH","CDR","MPSA14-CDI","A0202","","","","","","TO92","","","30V","0.5A","MPSA14-CDI","DARLINGTON,NPN","TH"
"c9992408-791e-4c66-a12f-04877ed7c704","","","","","TRANSISTOR,PNP,40V,0.2A,2N3906-DIO,TO92,TH","DIOTEC","2N3906-DIO","A0253","","","","","","TO92","","","40V","0.2A","2N3906-DIO","PNP","TH"
"569f5419-9c75-4208-8a9e-9f3dbb915cff","","","","","TRANSISTOR,DARLINGTON,NPN,30V,0.5A,MPSA14,TO92,TH","ONSEMI","MPSA14","A0198","","","","","","TO92","JAMECO","","30V","0.5A","MPSA14","DARLINGTON,NPN","TH"
"6317c236-ff84-41aa-bb57-52b680fba1f5","","","","","TRANSISTOR,PNP,60V,0.5A,MPSA55,TO92,TH","ONSEMI","MPSA55","A0139","","","","","","TO92","JAMECO","","60V","0.5A","MPSA55","PNP","TH"
"7e096147-4808-4053-8c49-2d04296e0d90","","","","","TRANSISTOR,NPN,60V,0.5A,MPSA05,TO92,TH","ONSEMI","MPSA05","A0185","","","","","","TO92","JAMECO","","60V","0.5A","MPSA05","NPN","TH"
"3179f6ed-1b6a-41d3-8048-a5669c322c80","","","","","TRANSISTOR,DUAL,PNP,12V,2.5A,ZDT717TA,SM8","ZETEX","ZDT717TA","A0161","","","","","","SM8","","","12V","2.5A","ZDT717TA","DUAL,PNP",""
"a03198ca-ed5e-444e-8ab1-c204380cf5d3","","","","","TRANSISTOR,DARLINGTON,NPN,400V,6A,TTD1409B,ISO220","TOSHIBA","TTD1409B","A0207","","","","","","ISO220","","","400V","6A","TTD1409B","DARLINGTON,NPN",""
"23a9b02d-247a-4da5-847e-20dbfcb9d15a","","","","","TRANSISTOR,PNP,30V,0.1A,BC858C,SOT23,SMD","NXP","BC858C","A0149","","","","","","SOT23","LCSC","","30V","0.1A","BC858C","PNP","SMD"
"d47cc905-e974-47a4-a6d5-89c23b60f839","","","","","TRANSISTOR,NPN,15V,0.2A,2N2369A,TO18,TH","ITT","2N2369A","A0600","","","","","","TO18","","","15V","0.2A","2N2369A","NPN","TH"
"6cf1caf2-f162-452e-a1b6-9bf86dbc794e","","","","","TRANSISTOR,NPN 2.5GHZ,10V,0.015A,2N5835,TO72,TH","ONSEMI","2N5835","A0592","","","","","","TO72","","","10V","0.015A","2N5835","NPN 2.5GHZ","TH"
"2c3541c0-215a-45b0-91e4-7a0dafcb23f8","","","","","TRANSISTOR,NPN,40V,1A,MPS6531,TO92,TH","NATIONAL","MPS6531","A0596","","","","","","TO92","","","40V","1A","MPS6531","NPN","TH"
"0337a519-cea0-4975-8c54-73aff4459688","","","","","TRANSISTOR,NPN,60V,25A,TIP35,TO247,TH","CENTRAL","TIP35","A0597","","","","","","TO247","","","60V","25A","TIP35","NPN","TH"
"d22cbc58-a488-40d0-837c-b531785083ec","","","","","TRANSISTOR,PNP,100V,25A,TIP36C,TO218,TH","TI","TIP36C","A0574","","","","","","TO218","","","100V","25A","TIP36C","PNP","TH"
"d6c6b48a-3139-47ba-a116-4a31d34e5878","","","","","TRANSISTOR,NPN,15V,0.2A,2N2369A,TO18,TH","SYNERTEC","2N2369A","A0571, A0676","","","","","","TO18","","","15V","0.2A","2N2369A","NPN","TH"
"39c088e2-2824-4a09-9911-be10eb69ba63","","","","","TRANSISTOR,PNP,230V,15A,2STA1943,TO264,TH","ST","2STA1943","A0593","","","","","","TO264","","","230V","15A","2STA1943","PNP","TH"
"4adffaf4-428d-4f3f-b253-2e95fb07f182","","","","","TRANSISTOR,THYRISTOR,200V,20A,S2020,TO220,TH","TECCOR (LITTELFUSE)","S2020","A0606","","","","","","TO220","","","200V","20A","S2020","THYRISTOR","TH"
"ec17088b-a536-4baf-a3f4-8488ec1cc0cd","","","","","TRANSISTOR,THYRISTOR,400V,35A,MCR265,TO220,TH","ONSEMI","MCR265","A0334","","","","","","TO220","","","400V","35A","MCR265","THYRISTOR","TH"
"a0cd3a78-89a9-4e95-a8bb-c8ea1c7465c3","","","","","TRANSISTOR,JFET P-CH,30V,0.015A,J270,TO92,TH","INTERFET","J270","A0318","","","","","","TO92","","","30V","0.015A","J270","JFET P-CH","TH"
"6cc91595-d631-412b-8e4e-a7d173ed3a64","","","","","TRANSISTOR,JFET N-CH,25V,0.005A,J109,TO92,TH","FAIRCHILD","J109","A0317","","","512-J109","","","TO92","MOUSER","512-J109","25V","0.005A","J109","JFET N-CH","TH"
"203c913f-70b8-4d57-8b88-4652a511ea90","","","","","TRANSISTOR,P-CH,20V,2.5A,STS2DPFS20V,SO8","ST","STS2DPFS20V","A0270, A0281","","","","","","SO8","","","20V","2.5A","STS2DPFS20V","P-CH",""
"a6f59f68-9cc2-4eec-9087-7ee8cce5e94a","","","","","TRANSISTOR,N-CH,30V,50A,KIA50N03AD,DPAK","KIA","KIA50N03AD","A0263","","","","","","DPAK","","","30V","50A","KIA50N03AD","N-CH",""
"3875da5d-093b-4698-b3db-b8c127dad898","","","","","TRANSISTOR,N-CH,600V,6A,IPA60R280P7SXXKSA1,ISO220,TH","INFINEON","IPA60R280P7SXXKSA1","A0292","","","","","","ISO220","","","600V","6A","IPA60R280P7SXXKSA1","N-CH","TH"
"96df0be7-20e6-4c90-a8d2-ecbb71247fbc","","","","","TRANSISTOR,PNP,65V,0.1A,BC856B,SOT23,SMD","NXP","BC856B","A0266","","","","","","SOT23","","","65V","0.1A","BC856B","PNP","SMD"
"a8b1fee8-7e20-41a8-838e-4ac84f2d2a6b","","","","","TRANSISTOR,PNP,40V,0.6A,2N2907,TO18,TH","ONSEMI","2N2907","A0272","","","","","","TO18","","","40V","0.6A","2N2907","PNP","TH"
"071155d5-fde1-4c3b-9f50-2b64d10021eb","","","","","TRANSISTOR,JFET N-CH,35V,0.02A,J111,TO92,TH","INTERFET","J111","A0285","","","","","","TO92","","","35V","0.02A","J111","JFET N-CH","TH"
"e1581d88-f96e-464c-822b-c5d91465eb3f","","","","","TRANSISTOR,N-CH,600V,18A,IPA60R180P7SXKSA1,ISO220,TH","INFINEON","IPA60R180P7SXKSA1","A0293","","","","","","ISO220","","","600V","18A","IPA60R180P7SXKSA1","N-CH","TH"
"7061233e-003c-4a2c-95e7-9bd82e5a8749","","","","","TRANSISTOR,PNP,250V,16A,MJL21193,TO264,TH","ONSEMI","MJL21193","A0688","","","","","","TO264","","","250V","16A","MJL21193","PNP","TH"
"ba83b40f-d41d-45de-b212-88b12c4d9149","","","","","TRANSISTOR,NPN,60V,0.6A,PN2222,TO92,TH","NXP","PN2222","A0677","","","","","","TO92","","","60V","0.6A","PN2222","NPN","TH"
"b3cc00ae-fc36-451f-add7-49e0c035808e","","","","","TRANSISTOR,PNP,250V,16A,MJL21193,TO264,TH","ONSEMI","MJL21193","A0664","","","","","","TO264","","","250V","16A","MJL21193","PNP","TH"
"5d6b9b2a-388b-46d5-92d0-4e0da7d4c53c","","","","","TRANSISTOR,NPN,60V,0.6A,MMBT2222A,SOT23,SMD","ONSEMI","MMBT2222A","R616","","","","","","SOT23","","","60V","0.6A","MMBT2222A","NPN","SMD"
"94ea77d3-4524-4f4f-aa37-dcf2484982b8","","","","","TRANSISTOR,PNP,40V,0.6A,MMBT2907A,SOT23,SMD","ONSEMI","MMBT2907A","R623","","","","","","SOT23","","","40V","0.6A","MMBT2907A","PNP","SMD"
