"Index","Library Ref","Library Path","Footprint Ref","Footprint Path","Description","Manufacturer 1","Manufacturer Part Number 1","Location","LCSC","Digikey","Mouser","TME","JAMECO","Package","Value","Voltage","CapType","Dielectric"
"5cac05b7-77d1-4e4b-9d3d-e0f0daa26c45","CAPF",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,FILM,0u47,420V,BOX L180 H175 P150","EPCOS","B32672L4474J000","A0327","","","","","","BOX L180 H175 P150","0u47","420V","FILM",""
"f5dc8c9c-33df-47db-9bf0-0ddefd5609ce","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,1uF,63V,BOX508","EPCOS","B32529C0105K189","A0330","","","","","","BOX508","1uF","63V","FILM",""
"4ebd89be-352f-4b1c-81cb-f8bbe4750fb9","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,BOX508","EPCOS","B32922C3104M189","A0384","","","","","","BOX508","","","FILM",""
"54586c6c-576c-45be-abbf-972efa5a6d61","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,220nF,100V,BOX508","S+M","B32529-C1224-K000","A0268","","","","","","BOX508","220nF","100V","FILM",""
"d10e0bf3-49c2-4c37-8478-27db196b8818","CAPAE",".\SCHLIB\PASSIVES.SCHLIB","CAPTHAED160H270P075","","CAP,AE,10uF,450V,D160 H270 P075","NICHICON","UPM2W100MHD","A0130, A0134, A0135","","","","","","D160 H270 P075","10uF","450V","AE",""
"a2ffe979-be18-4857-a76e-2e7baab0aff0","CAPPOLY",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,POLY,100uF,35V,D080 H095 P035","PANASONIC","EEH-A2A1V101B","A0129","","","","","","D080 H095 P035","100uF","35V","POLY",""
"beacc6a0-6ab9-4c90-ace4-c12881baf06f","CAPPOLY",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,POLY,10uF,63V,D063 H060 P025","KEMET","A759EA106MAJAAE060","A0132","","","","","","D063 H060 P025","10uF","63V","POLY",""
"6a61da9f-34a5-4894-ac43-2aec7361a31c","CAPPOLY",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,POLY,4u7,250V,D080 H130 P035","KEMET","A759KS475M2EAAE496","A0275","","","","","","D080 H130 P035","4u7","250V","POLY",""
"e58f0c2f-5d62-40cb-bc4b-460c78461d01","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,47nF,50V,BOX508","PANASONIC","ECQB 47NF 50V","A0651","","","","","","BOX508","47nF","50V","FILM",""
"2f9ed358-b002-419c-ace4-2167b0487c50","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTH750","","CAP,FILM,180nF,63V,BOX750","PANASONIC","ECQV1J184JM","A0650","","","","","","BOX750","180nF","63V","FILM",""
"c0dda363-6575-4efe-b1cc-7547483ba6fe","CAPF",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,FILM,330nF,63V,BOX750","PANASONIC","ECQV1J334JM","A0652","","","","","","BOX750","330nF","63V","FILM",""
"c9e9b2a0-9b79-4cf4-8b92-66b522b895c6","CAPC",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,CER,47nF,50V,TH508","EBAY","","R545, R546","","","","","","TH508","47nF","50V","CER","X7R"
"95373362-3856-40bd-aff7-7a20eae51577","CAPC",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,CER,100nF,50V,TH508","EBAY","","R547, R548, R549, R550","","","","","","TH508","100nF","50V","CER","X7R"
"173a8888-dfc9-4add-8c18-ac6b844dabcd","CAPC",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,CER,1uF,50V,TH508","EBAY","","R551, R552, R553","","","","","","TH508","1uF","50V","CER","X7R"
"ad5b85d2-e46e-4fbd-9614-1f2eab9aa34f","CAPC",".\SCHLIB\PASSIVES.SCHLIB","","","CAP,CER,100nF,25V,0805","KYOCERA","08053C104KAT2A","R574","","","","","","0805","100nF","25V","CER","X7R"
"e46cad05-8f9c-45f9-98ee-63c186b52b84","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,220nF,63V,BOX508","BC COMPONENTS BELGIUM","MKT370 2222-370-76224","A0472, A0490","","","","","","BOX508","220nF","63V","FILM",""
"47832b3b-ca4b-4a55-bd6c-26857278ef2f","CAPF",".\SCHLIB\PASSIVES.SCHLIB","CAPTHBOX508","","CAP,FILM,470nF,63V,BOX508","S+M BELGIUM","B32529C0474K289","A0438, A0462","","","","","","BOX508","470nF","63V","FILM",""
